epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9898,1.83681,3.77494,2.05799,0.01217,0.83333,0.25785,0.05301,1.53747,3.86647,2.25108,0,0,0
2,35.5517,1.81644,3.55783,2.06762,0.01196,0.83333,0.26583,0.06525,1.47281,3.82366,2.21204,1.11689e-05,1.11689e-05,1.11689e-05
3,43.1938,1.64768,3.38451,1.87037,0.01174,0.83333,0.22744,0.05955,1.41837,3.77945,2.17172,1.13356e-05,1.13356e-05,1.13356e-05
